token,disposition,removal_gate,owner,target_or_classification,reference_count,reference_file_count
--ve-shadow-rgb,TEMPORARY_DIRECT_ADAPTER,G5 (earlier at zero uses),B4 learner/org consumers; B5 all remaining consumers and adapter deletion,--ui-shadow-rgb,25,11
--ve-shell,TEMPORARY_DIRECT_ADAPTER,G5 (earlier at zero uses),B4 learner/org consumers; B5 all remaining consumers and adapter deletion,--ui-chrome,102,29
--ve-sky,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,3,2
--ve-sky-action,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-sky-label,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-sky-on-accent,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-sky-rgb,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-sky-soft,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-soft,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,"--ui-surface-soft; currently undefined, replace both admin organization backgrounds directly",2,1
--ve-store,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,reward category / reward progress / warning: classify each use and pair,26,19
--ve-store-rgb,DELETE_UNUSED,G0,B0 implementer,none; delete definitions and dead alias edge,0,0
--ve-store-soft,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,reward category / reward progress / warning: classify each use and pair,18,15
--ve-violet,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,24,10
--ve-violet-action,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-violet-label,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-violet-on-accent,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-violet-rgb,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,1,1
--ve-violet-soft,DIRECT_REWRITE_NO_ADAPTER,G2,B2 implementer,information / learning category / action / editorial support: classify each use,15,11
